station,station_line,GTFS Latitude,GTFS Longitude
59 ST,NQR456W,40.762526,-73.967967
5 AV/59 ST,NQRW,40.764811,-73.973347
57 ST-7 AV,NQRW,40.764664,-73.98065799999999
49 ST,NQRW,40.759901,-73.984139
TIMES SQ-42 ST,ACENQRS1237W,40.754672,-73.986754
34 ST-HERALD SQ,BDFMNQRW,40.749567,-73.98795
28 ST,NRW,40.745494,-73.988691
23 ST,NRW,40.741303,-73.98934399999999
14 ST-UNION SQ,LNQR456W,40.735735999999996,-73.99056800000001
8 ST-NYU,NRW,40.730328,-73.99262900000001
PRINCE ST,NRW,40.724329,-73.997702
CANAL ST,JNQRZ6W,40.719527,-74.001775
CITY HALL,NRW,40.713282,-74.006978
CORTLANDT ST,RNW,40.710668,-74.01102900000001
RECTOR ST,NRW,40.70722,-74.01334200000001
WHITEHALL S-FRY,R1W,40.703087,-74.01299399999999
DELANCEY/ESSEX,FJMZ,40.718610999999996,-73.988114
BOWERY,JZ,40.720279999999995,-73.993915
CHAMBERS ST,JZ456,40.713243,-74.003401
FULTON ST,ACJZ2345,40.710374,-74.007582
BROAD ST,JZ,40.706476,-74.01105600000001
7 AV,BQ,40.67705,-73.972367
PARK PLACE,S,40.674772,-73.957624
BOTANIC GARDEN,S2345,40.670343,-73.959245
PROSPECT PARK,BQS,40.661614,-73.962246
PARKSIDE AV,BQ,40.655291999999996,-73.961495
CHURCH AV,BQ,40.650527000000004,-73.962982
BEVERLEY ROAD,BQ,40.644031,-73.964492
CORTELYOU RD,BQ,40.640927000000005,-73.963891
NEWKIRK PLAZA,BQ,40.635082000000004,-73.962793
AVENUE H,BQ,40.62927,-73.961639
AVENUE J,BQ,40.625039,-73.960803
AVENUE M,BQ,40.617618,-73.959399
KINGS HWY,BQ,40.608670000000004,-73.957734
AVENUE U,BQ,40.5993,-73.955929
NECK RD,BQ,40.595246,-73.955161
SHEEPSHEAD BAY,BQ,40.586896,-73.954155
BRIGHTON BEACH,BQ,40.577621,-73.961376
OCEAN PKWY,Q,40.576312,-73.968501
BOROUGH HALL,R2345,40.693219,-73.989998
JAY ST-METROTEC,R,40.69218,-73.98594200000001
DEKALB AV,BDNQR,40.690635,-73.981824
ATL AV-BARCLAY,BDNQR2345,40.683665999999995,-73.97881
UNION ST,R,40.677316,-73.98311
4AV-9 ST,DFGMNR,40.759901,-73.984139
PROSPECT AV,R,40.665414,-73.99287199999999
25 ST,R,40.660396999999996,-73.998091
36 ST,DNR,40.655144,-74.00354899999999
45 ST,R,40.648939,-74.010006
53 ST,R,40.645069,-74.014034
59 ST,NRW,40.641362,-74.017881
BAY RIDGE AV,R,40.634966999999996,-74.023377
77 ST,R,40.629742,-74.02551
86 ST,R,40.622687,-74.028398
BAY RIDGE-95 ST,R,40.616622,-74.030876
8 AV,N,40.635064,-74.011719
FT HAMILTON PKY,N,40.631386,-74.005351
NEW UTRECHT AV,ND,40.624842,-73.996353
